#Brulandsfoss ndf., 84.21.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-06-22 11:00:00Z;69,95544;0;3
2018-06-23 11:00:00Z;60,18951;0;3
2018-06-24 11:00:00Z;52,49789;0;3
2018-06-25 11:00:00Z;50,08312;0;3
2018-06-26 11:00:00Z;45,63622;0;3
2018-06-27 11:00:00Z;41,28191;0;3
2018-06-28 11:00:00Z;37,22897;0;3
2018-06-29 11:00:00Z;33,86201;0;3
2018-06-30 11:00:00Z;29,89487;0;3
2018-07-01 11:00:00Z;26,82075;0;3
2018-07-02 11:00:00Z;25,63764;0;3
2018-07-03 11:00:00Z;25,11266;0;3
2018-07-04 11:00:00Z;25,06774;0;3
2018-07-05 11:00:00Z;24,40187;0;3
2018-07-06 11:00:00Z;23,5425;0;3
2018-07-07 11:00:00Z;22,13758;0;3
2018-07-08 11:00:00Z;20,79085;0;3
2018-07-09 11:00:00Z;20,43331;0;3
2018-07-10 11:00:00Z;22,34917;0;3
2018-07-11 11:00:00Z;22,24648;0;3
2018-07-12 11:00:00Z;22,54455;0;3
2018-07-13 11:00:00Z;22,62225;0;3
2018-07-14 11:00:00Z;22,14789;0;3
2018-07-15 11:00:00Z;22,03686;0;3
2018-07-16 11:00:00Z;21,72087;0;3
2018-07-17 11:00:00Z;23,15501;0;3
2018-07-18 11:00:00Z;23,6995;0;3
2018-07-19 11:00:00Z;24,25148;0;3
2018-07-20 11:00:00Z;24,24594;0;3
2018-07-21 11:00:00Z;24,12537;0;3
2018-07-22 11:00:00Z;23,68544;0;3
2018-07-23 11:00:00Z;24,15847;0;3
2018-07-24 11:00:00Z;26,58751;0;3
2018-07-25 11:00:00Z;30,76785;0;3
2018-07-26 11:00:00Z;30,69576;0;3
2018-07-27 11:00:00Z;30,2429;0;3
2018-07-28 11:00:00Z;30,47432;0;3
2018-07-29 11:00:00Z;31,8918;0;3
2018-07-30 11:00:00Z;33,49257;0;3
2018-07-31 11:00:00Z;34,8052;0;3
2018-08-01 11:00:00Z;48,02067;0;3
2018-08-02 11:00:00Z;44,59252;0;3
2018-08-03 11:00:00Z;46,86385;0;3
2018-08-04 11:00:00Z;55,5391;0;3
2018-08-05 11:00:00Z;59,30275;0;3
2018-08-06 11:00:00Z;62,00294;0;3
2018-08-07 11:00:00Z;58,6095;0;3
2018-08-08 11:00:00Z;55,7582;0;3
2018-08-09 11:00:00Z;62,1131;0;3
2018-08-10 11:00:00Z;62,82718;0;3
2018-08-11 11:00:00Z;82,36726;0;3
2018-08-12 11:00:00Z;78,86508;0;3
2018-08-13 11:00:00Z;69,54429;0;3
2018-08-14 11:00:00Z;60,69605;0;3
2018-08-15 11:00:00Z;54,29846;0;3
2018-08-16 11:00:00Z;73,21251;0;3
2018-08-17 11:00:00Z;87,22925;0;3
2018-08-18 11:00:00Z;90,14561;0;3
2018-08-19 11:00:00Z;106,4328;0;3
2018-08-20 11:00:00Z;94,17349;0;3
2018-08-21 11:00:00Z;84,22623;0;3
2018-08-22 11:00:00Z;92,5194;0;3
2018-08-23 11:00:00Z;99,99233;0;3
2018-08-24 11:00:00Z;91,91875;0;3
2018-08-25 11:00:00Z;85,10789;0;3
2018-08-26 11:00:00Z;75,78233;0;3
2018-08-27 11:00:00Z;70,92188;0;3
2018-08-28 11:00:00Z;64,85775;0;3
2018-08-29 11:00:00Z;60,11047;0;3
2018-08-30 11:00:00Z;57,36312;0;3
2018-08-31 11:00:00Z;52,39032;0;3
2018-09-01 11:00:00Z;46,05439;0;3
2018-09-02 11:00:00Z;40,67941;0;3
2018-09-03 11:00:00Z;37,53436;0;3
2018-09-04 11:00:00Z;35,68927;0;3
2018-09-05 11:00:00Z;33,56178;0;3
2018-09-06 11:00:00Z;33,04595;0;3
2018-09-07 11:00:00Z;32,69853;0;3
2018-09-08 11:00:00Z;31,2079;0;3
2018-09-09 11:00:00Z;30,03553;0;3
2018-09-10 11:00:00Z;32,02211;0;3
2018-09-11 11:00:00Z;42,27207;0;3
2018-09-12 11:00:00Z;79,63269;0;3
2018-09-13 11:00:00Z;118,9557;0;3
2018-09-14 11:00:00Z;159,2262;0;3
2018-09-15 11:00:00Z;164,823;0;3
2018-09-16 11:00:00Z;156,3445;0;3
2018-09-17 11:00:00Z;136,4381;0;3
2018-09-18 11:00:00Z;145,7294;0;3
