#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-06-26 11:00:00Z;11,70622;0;3
2018-06-27 11:00:00Z;8,959129;0;3
2018-06-28 11:00:00Z;7,442841;0;3
2018-06-29 11:00:00Z;6,766039;0;3
2018-06-30 11:00:00Z;5,874966;0;3
2018-07-01 11:00:00Z;5,353949;0;3
2018-07-02 11:00:00Z;5,030779;0;3
2018-07-03 11:00:00Z;4,760787;0;3
2018-07-04 11:00:00Z;4,60255;0;3
2018-07-05 11:00:00Z;4,646137;0;3
2018-07-06 11:00:00Z;4,474968;0;3
2018-07-07 11:00:00Z;4,050029;0;3
2018-07-08 11:00:00Z;3,690829;0;3
2018-07-09 11:00:00Z;3,622026;0;3
2018-07-10 11:00:00Z;3,48228;0;3
2018-07-11 11:00:00Z;3,454907;0;3
2018-07-12 11:00:00Z;3,453279;0;3
2018-07-13 11:00:00Z;3,348458;0;3
2018-07-14 11:00:00Z;3,219885;0;3
2018-07-15 11:00:00Z;3,137852;0;3
2018-07-16 11:00:00Z;3,068191;0;3
2018-07-17 11:00:00Z;3,024122;0;3
2018-07-18 11:00:00Z;3,126247;0;3
2018-07-19 11:00:00Z;3,363807;0;3
2018-07-20 11:00:00Z;3,175378;0;3
2018-07-21 11:00:00Z;2,857335;0;3
2018-07-22 11:00:00Z;2,607406;0;3
2018-07-23 11:00:00Z;2,757581;0;3
2018-07-24 11:00:00Z;8,036405;0;3
2018-07-25 11:00:00Z;13,64195;0;3
2018-07-26 11:00:00Z;10,76538;0;3
2018-07-27 11:00:00Z;7,237158;0;3
2018-07-28 11:00:00Z;5,590477;0;3
2018-07-29 11:00:00Z;5,969813;0;3
2018-07-30 11:00:00Z;5,510592;0;3
2018-07-31 11:00:00Z;8,917863;0;3
2018-08-01 11:00:00Z;22,90125;0;3
2018-08-02 11:00:00Z;13,45578;0;3
2018-08-03 11:00:00Z;20,66311;0;3
2018-08-04 11:00:00Z;23,05094;0;3
2018-08-05 11:00:00Z;29,29055;0;3
2018-08-06 11:00:00Z;23,12097;0;3
2018-08-07 11:00:00Z;17,82427;0;3
2018-08-08 11:00:00Z;22,82426;0;3
2018-08-09 11:00:00Z;30,71958;0;3
2018-08-10 11:00:00Z;24,3691;0;3
2018-08-11 11:00:00Z;35,79695;0;3
2018-08-12 11:00:00Z;22,22647;0;3
2018-08-13 11:00:00Z;13,48023;0;3
2018-08-14 11:00:00Z;8,877101;0;3
2018-08-15 11:00:00Z;7,119329;0;3
2018-08-16 11:00:00Z;49,85448;0;3
2018-08-17 11:00:00Z;44,37287;0;3
2018-08-18 11:00:00Z;58,71645;0;3
2018-08-19 11:00:00Z;56,9518;0;3
2018-08-20 11:00:00Z;24,69338;0;3
2018-08-21 11:00:00Z;16,68433;0;3
2018-08-22 11:00:00Z;52,3983;0;3
2018-08-23 11:00:00Z;36,66874;0;3
2018-08-24 11:00:00Z;27,91333;0;3
2018-08-25 11:00:00Z;19,17701;0;3
2018-08-26 11:00:00Z;14,94261;0;3
2018-08-27 11:00:00Z;13,33089;0;3
2018-08-28 11:00:00Z;12,57374;0;3
2018-08-29 11:00:00Z;11,40534;0;3
2018-08-30 11:00:00Z;18,37618;0;3
2018-08-31 11:00:00Z;12,74969;0;3
2018-09-01 11:00:00Z;8,604689;0;3
2018-09-02 11:00:00Z;6,562656;0;3
2018-09-03 11:00:00Z;5,31377;0;3
2018-09-04 11:00:00Z;4,925929;0;3
2018-09-05 11:00:00Z;4,35255;0;3
2018-09-06 11:00:00Z;3,857106;0;3
2018-09-07 11:00:00Z;3,737088;0;3
2018-09-08 11:00:00Z;3,164181;0;3
2018-09-09 11:00:00Z;2,821589;0;3
2018-09-10 11:00:00Z;13,5535;0;3
2018-09-11 11:00:00Z;49,03616;0;3
2018-09-12 11:00:00Z;90,77028;0;3
2018-09-13 11:00:00Z;89,18773;0;3
2018-09-14 11:00:00Z;87,2263;0;3
2018-09-15 11:00:00Z;74,597;0;3
2018-09-16 11:00:00Z;51,37913;0;3
2018-09-17 11:00:00Z;44,55462;0;3
2018-09-18 11:00:00Z;68,63944;0;3
2018-09-19 11:00:00Z;48,70984;0;3
2018-09-20 11:00:00Z;76,23563;0;3
2018-09-21 11:00:00Z;76,25404;0;3
2018-09-22 11:00:00Z;79,72921;0;3
2018-09-23 11:00:00Z;48,66021;0;3
2018-09-24 11:00:00Z;27,73987;0;3
2018-09-25 11:00:00Z;39,5868;0;3
2018-09-26 11:00:00Z;185,2378;0;3
2018-09-27 11:00:00Z;89,01522;0;3
2018-09-28 11:00:00Z;46,69837;0;3
2018-09-29 11:00:00Z;116,8201;0;3
2018-09-30 11:00:00Z;114,2117;0;3
2018-10-01 11:00:00Z;40,67189;0;3
2018-10-02 11:00:00Z;21,79527;0;3
2018-10-03 11:00:00Z;15,533;0;3
2018-10-04 11:00:00Z;51,6977;0;3
2018-10-05 11:00:00Z;83,45843;0;3
2018-10-06 11:00:00Z;44,32299;0;3
2018-10-07 11:00:00Z;23,43879;0;3
2018-10-08 11:00:00Z;34,13055;0;3
2018-10-09 11:00:00Z;98,28114;0;3
2018-10-10 11:00:00Z;72,98969;0;3
2018-10-11 11:00:00Z;32,72082;0;3
2018-10-12 11:00:00Z;22,14773;0;3
2018-10-13 11:00:00Z;112,9175;0;3
2018-10-14 11:00:00Z;96,94167;0;3
2018-10-15 11:00:00Z;61,13426;0;3
2018-10-16 11:00:00Z;23,98855;0;3
2018-10-17 11:00:00Z;24,24923;0;3
2018-10-18 11:00:00Z;35,92483;0;3
2018-10-19 11:00:00Z;24,62468;0;3
2018-10-20 11:00:00Z;18,96342;0;3
2018-10-21 11:00:00Z;95,31331;0;3
2018-10-22 11:00:00Z;53,68274;0;3
2018-10-23 11:00:00Z;55,39308;0;3
2018-10-24 11:00:00Z;24,62835;0;3
2018-10-25 11:00:00Z;22,67075;0;3
2018-10-26 11:00:00Z;16,07396;0;3
2018-10-27 11:00:00Z;11,38199;0;3
2018-10-28 11:00:00Z;8,455385;0;3
2018-10-29 11:00:00Z;6,726967;0;3
2018-10-30 11:00:00Z;5,745384;0;3
2018-10-31 11:00:00Z;6,795803;0;3
2018-11-01 11:00:00Z;8,920915;0;3
2018-11-02 11:00:00Z;24,41295;0;3
2018-11-03 11:00:00Z;19,19135;0;3
2018-11-04 11:00:00Z;22,0552;0;3
2018-11-05 11:00:00Z;15,65923;0;3
2018-11-06 11:00:00Z;10,6545;0;3
2018-11-07 11:00:00Z;8,544627;0;3
2018-11-08 11:00:00Z;8,208927;0;3
2018-11-09 11:00:00Z;8,176326;0;3
2018-11-10 11:00:00Z;7,174335;0;3
2018-11-11 11:00:00Z;6,304091;0;3
2018-11-12 11:00:00Z;6,344627;0;3
2018-11-13 11:00:00Z;8,062851;0;3
2018-11-14 11:00:00Z;9,050882;0;3
2018-11-15 11:00:00Z;10,48926;0;3
2018-11-16 11:00:00Z;11,20911;0;3
2018-11-17 11:00:00Z;11,7955;0;3
2018-11-18 11:00:00Z;9,370938;0;3
2018-11-19 11:00:00Z;7,413416;0;3
2018-11-20 11:00:00Z;5,973496;0;3
2018-11-21 11:00:00Z;4,895977;0;3
2018-11-22 11:00:00Z;4,789197;0;3
2018-11-23 11:00:00Z;5,385334;0;3
2018-11-24 11:00:00Z;5,963627;0;3
2018-11-25 11:00:00Z;9,087423;0;3
2018-11-26 11:00:00Z;10,38538;0;3
2018-11-27 11:00:00Z;9,297153;0;3
2018-11-28 11:00:00Z;8,28194;0;3
2018-11-29 11:00:00Z;9,434943;0;3
2018-11-30 11:00:00Z;13,04248;0;3
2018-12-01 11:00:00Z;22,92277;0;3
2018-12-02 11:00:00Z;13,90516;0;3
2018-12-03 11:00:00Z;10,51144;0;3
2018-12-04 11:00:00Z;8,796665;0;3
2018-12-05 11:00:00Z;6,014002;0;3
2018-12-06 11:00:00Z;4,702874;0;3
2018-12-07 11:00:00Z;4,620624;0;3
2018-12-08 11:00:00Z;9,081091;0;3
2018-12-09 11:00:00Z;6,501399;0;3
2018-12-10 11:00:00Z;5,475273;0;3
2018-12-11 11:00:00Z;4,237065;0;3
